Year,Team ID,Team Name,Games,Wins,Loses,Team Salary
1985,SLN,St. Louis Cardinals,162,101,61,11817083
1985,TOR,Toronto Blue Jays,161,99,62,8812550
1985,NYN,New York Mets,162,98,64,10834762
1985,NYA,New York Yankees,161,97,64,14238204
1985,LAN,Los Angeles Dodgers,162,95,67,10967917
1985,KCA,Kansas City Royals,162,91,71,9321179
1985,CAL,California Angels,162,90,72,14427894
1985,CIN,Cincinnati Reds,162,89,72,8359917
1985,CHA,Chicago White Sox,163,85,77,9846178
1985,DET,Detroit Tigers,161,84,77,10348143
1985,MON,Montreal Expos,161,84,77,9470166
1985,HOU,Houston Astros,162,83,79,9993051
1985,SDN,San Diego Padres,162,83,79,11036583
1985,BAL,Baltimore Orioles,161,83,78,11560712
1985,BOS,Boston Red Sox,163,81,81,10897560
1985,CHN,Chicago Cubs,162,77,84,12702917
1985,MIN,Minnesota Twins,162,77,85,5764821
1985,OAK,Oakland Athletics,162,77,85,9058606
1985,PHI,Philadelphia Phillies,162,75,87,10124966
1985,SEA,Seattle Mariners,162,74,88,4613000
1985,ML4,Milwaukee Brewers,161,71,90,11284107
1985,ATL,Atlanta Braves,162,66,96,14807000
1985,SFN,San Francisco Giants,162,62,100,8221714
1985,TEX,Texas Rangers,161,62,99,7676500
1985,CLE,Cleveland Indians,162,60,102,6551666
1985,PIT,Pittsburgh Pirates,161,57,104,9227500
