Year,Team ID,Team Name,Games,Wins,Loses
1985,ATL,Atlanta Braves,162,66,96
1985,BAL,Baltimore Orioles,161,83,78
1985,BOS,Boston Red Sox,163,81,81
1985,CAL,California Angels,162,90,72
1985,CHA,Chicago White Sox,163,85,77
1985,CHN,Chicago Cubs,162,77,84
1985,CIN,Cincinnati Reds,162,89,72
1985,CLE,Cleveland Indians,162,60,102
1985,DET,Detroit Tigers,161,84,77
1985,HOU,Houston Astros,162,83,79
1985,KCA,Kansas City Royals,162,91,71
1985,LAN,Los Angeles Dodgers,162,95,67
1985,MIN,Minnesota Twins,162,77,85
1985,ML4,Milwaukee Brewers,161,71,90
1985,MON,Montreal Expos,161,84,77
1985,NYA,New York Yankees,161,97,64
1985,NYN,New York Mets,162,98,64
1985,OAK,Oakland Athletics,162,77,85
1985,PHI,Philadelphia Phillies,162,75,87
1985,PIT,Pittsburgh Pirates,161,57,104
1985,SDN,San Diego Padres,162,83,79
1985,SEA,Seattle Mariners,162,74,88
1985,SFN,San Francisco Giants,162,62,100
1985,SLN,St. Louis Cardinals,162,101,61
1985,TEX,Texas Rangers,161,62,99
1985,TOR,Toronto Blue Jays,161,99,62
1986,ATL,Atlanta Braves,161,72,89
1986,BAL,Baltimore Orioles,162,73,89
1986,BOS,Boston Red Sox,161,95,66
1986,CAL,California Angels,162,92,70
1986,CHA,Chicago White Sox,162,72,90
1986,CHN,Chicago Cubs,160,70,90
1986,CIN,Cincinnati Reds,162,86,76
1986,CLE,Cleveland Indians,163,84,78
1986,DET,Detroit Tigers,162,87,75
1986,HOU,Houston Astros,162,96,66
1986,KCA,Kansas City Royals,162,76,86
1986,LAN,Los Angeles Dodgers,162,73,89
1986,MIN,Minnesota Twins,162,71,91
1986,ML4,Milwaukee Brewers,161,77,84
1986,MON,Montreal Expos,161,78,83
1986,NYA,New York Yankees,162,90,72
1986,NYN,New York Mets,162,108,54
1986,OAK,Oakland Athletics,162,76,86
1986,PHI,Philadelphia Phillies,161,86,75
1986,PIT,Pittsburgh Pirates,162,64,98
1986,SDN,San Diego Padres,162,74,88
1986,SEA,Seattle Mariners,162,67,95
1986,SFN,San Francisco Giants,162,83,79
1986,SLN,St. Louis Cardinals,161,79,82
1986,TEX,Texas Rangers,162,87,75
1986,TOR,Toronto Blue Jays,163,86,76
1987,ATL,Atlanta Braves,161,69,92
1987,BAL,Baltimore Orioles,162,67,95
1987,BOS,Boston Red Sox,162,78,84
1987,CAL,California Angels,162,75,87
1987,CHA,Chicago White Sox,162,77,85
1987,CHN,Chicago Cubs,161,76,85
1987,CIN,Cincinnati Reds,162,84,78
1987,CLE,Cleveland Indians,162,61,101
1987,DET,Detroit Tigers,162,98,64
1987,HOU,Houston Astros,162,76,86
1987,KCA,Kansas City Royals,162,83,79
1987,LAN,Los Angeles Dodgers,162,73,89
1987,MIN,Minnesota Twins,162,85,77
1987,ML4,Milwaukee Brewers,162,91,71
1987,MON,Montreal Expos,162,91,71
1987,NYA,New York Yankees,162,89,73
1987,NYN,New York Mets,162,92,70
1987,OAK,Oakland Athletics,162,81,81
1987,PHI,Philadelphia Phillies,162,80,82
1987,PIT,Pittsburgh Pirates,162,80,82
1987,SDN,San Diego Padres,162,65,97
1987,SEA,Seattle Mariners,162,78,84
