,Year,Team ID,Team Name,Games,Wins,Loses
0,1985,ATL,Atlanta Braves,162,66,96
1,1985,BAL,Baltimore Orioles,161,83,78
2,1985,BOS,Boston Red Sox,163,81,81
3,1985,CAL,California Angels,162,90,72
4,1985,CHA,Chicago White Sox,163,85,77
5,1985,CHN,Chicago Cubs,162,77,84
6,1985,CIN,Cincinnati Reds,162,89,72
7,1985,CLE,Cleveland Indians,162,60,102
8,1985,DET,Detroit Tigers,161,84,77
9,1985,HOU,Houston Astros,162,83,79
10,1985,KCA,Kansas City Royals,162,91,71
11,1985,LAN,Los Angeles Dodgers,162,95,67
12,1985,MIN,Minnesota Twins,162,77,85
13,1985,ML4,Milwaukee Brewers,161,71,90
14,1985,MON,Montreal Expos,161,84,77
15,1985,NYA,New York Yankees,161,97,64
16,1985,NYN,New York Mets,162,98,64
17,1985,OAK,Oakland Athletics,162,77,85
18,1985,PHI,Philadelphia Phillies,162,75,87
19,1985,PIT,Pittsburgh Pirates,161,57,104
20,1985,SDN,San Diego Padres,162,83,79
21,1985,SEA,Seattle Mariners,162,74,88
22,1985,SFN,San Francisco Giants,162,62,100
23,1985,SLN,St. Louis Cardinals,162,101,61
24,1985,TEX,Texas Rangers,161,62,99
25,1985,TOR,Toronto Blue Jays,161,99,62
26,1986,ATL,Atlanta Braves,161,72,89
27,1986,BAL,Baltimore Orioles,162,73,89
28,1986,BOS,Boston Red Sox,161,95,66
29,1986,CAL,California Angels,162,92,70
30,1986,CHA,Chicago White Sox,162,72,90
31,1986,CHN,Chicago Cubs,160,70,90
32,1986,CIN,Cincinnati Reds,162,86,76
33,1986,CLE,Cleveland Indians,163,84,78
34,1986,DET,Detroit Tigers,162,87,75
35,1986,HOU,Houston Astros,162,96,66
36,1986,KCA,Kansas City Royals,162,76,86
37,1986,LAN,Los Angeles Dodgers,162,73,89
38,1986,MIN,Minnesota Twins,162,71,91
39,1986,ML4,Milwaukee Brewers,161,77,84
40,1986,MON,Montreal Expos,161,78,83
41,1986,NYA,New York Yankees,162,90,72
42,1986,NYN,New York Mets,162,108,54
43,1986,OAK,Oakland Athletics,162,76,86
44,1986,PHI,Philadelphia Phillies,161,86,75
45,1986,PIT,Pittsburgh Pirates,162,64,98
46,1986,SDN,San Diego Padres,162,74,88
47,1986,SEA,Seattle Mariners,162,67,95
48,1986,SFN,San Francisco Giants,162,83,79
49,1986,SLN,St. Louis Cardinals,161,79,82
50,1986,TEX,Texas Rangers,162,87,75
51,1986,TOR,Toronto Blue Jays,163,86,76
52,1987,ATL,Atlanta Braves,161,69,92
53,1987,BAL,Baltimore Orioles,162,67,95
54,1987,BOS,Boston Red Sox,162,78,84
55,1987,CAL,California Angels,162,75,87
56,1987,CHA,Chicago White Sox,162,77,85
57,1987,CHN,Chicago Cubs,161,76,85
58,1987,CIN,Cincinnati Reds,162,84,78
59,1987,CLE,Cleveland Indians,162,61,101
60,1987,DET,Detroit Tigers,162,98,64
61,1987,HOU,Houston Astros,162,76,86
62,1987,KCA,Kansas City Royals,162,83,79
63,1987,LAN,Los Angeles Dodgers,162,73,89
64,1987,MIN,Minnesota Twins,162,85,77
65,1987,ML4,Milwaukee Brewers,162,91,71
66,1987,MON,Montreal Expos,162,91,71
67,1987,NYA,New York Yankees,162,89,73
68,1987,NYN,New York Mets,162,92,70
69,1987,OAK,Oakland Athletics,162,81,81
70,1987,PHI,Philadelphia Phillies,162,80,82
71,1987,PIT,Pittsburgh Pirates,162,80,82
72,1987,SDN,San Diego Padres,162,65,97
73,1987,SEA,Seattle Mariners,162,78,84
74,1987,SFN,San Francisco Giants,162,90,72
75,1987,SLN,St. Louis Cardinals,162,95,67
76,1987,TEX,Texas Rangers,162,75,87
77,1987,TOR,Toronto Blue Jays,162,96,66
78,1988,ATL,Atlanta Braves,160,54,106
79,1988,BAL,Baltimore Orioles,161,54,107
80,1988,BOS,Boston Red Sox,162,89,73
81,1988,CAL,California Angels,162,75,87
82,1988,CHA,Chicago White Sox,161,71,90
83,1988,CHN,Chicago Cubs,163,77,85
84,1988,CIN,Cincinnati Reds,161,87,74
85,1988,CLE,Cleveland Indians,162,78,84
86,1988,DET,Detroit Tigers,162,88,74
87,1988,HOU,Houston Astros,162,82,80
88,1988,KCA,Kansas City Royals,161,84,77
89,1988,LAN,Los Angeles Dodgers,162,94,67
90,1988,MIN,Minnesota Twins,162,91,71
91,1988,ML4,Milwaukee Brewers,162,87,75
92,1988,MON,Montreal Expos,163,81,81
93,1988,NYA,New York Yankees,161,85,76
94,1988,NYN,New York Mets,160,100,60
95,1988,OAK,Oakland Athletics,162,104,58
96,1988,PHI,Philadelphia Phillies,162,65,96
97,1988,PIT,Pittsburgh Pirates,160,85,75
98,1988,SDN,San Diego Padres,161,83,78
99,1988,SEA,Seattle Mariners,161,68,93
100,1988,SFN,San Francisco Giants,162,83,79
101,1988,SLN,St. Louis Cardinals,162,76,86
102,1988,TEX,Texas Rangers,161,70,91
103,1988,TOR,Toronto Blue Jays,162,87,75
104,1989,ATL,Atlanta Braves,161,63,97
105,1989,BAL,Baltimore Orioles,162,87,75
106,1989,BOS,Boston Red Sox,162,83,79
107,1989,CAL,California Angels,162,91,71
108,1989,CHA,Chicago White Sox,161,69,92
109,1989,CHN,Chicago Cubs,162,93,69
110,1989,CIN,Cincinnati Reds,162,75,87
111,1989,CLE,Cleveland Indians,162,73,89
112,1989,DET,Detroit Tigers,162,59,103
113,1989,HOU,Houston Astros,162,86,76
114,1989,KCA,Kansas City Royals,162,92,70
115,1989,LAN,Los Angeles Dodgers,160,77,83
116,1989,MIN,Minnesota Twins,162,80,82
117,1989,ML4,Milwaukee Brewers,162,81,81
118,1989,MON,Montreal Expos,162,81,81
119,1989,NYA,New York Yankees,161,74,87
120,1989,NYN,New York Mets,162,87,75
121,1989,OAK,Oakland Athletics,162,99,63
122,1989,PHI,Philadelphia Phillies,163,67,95
123,1989,PIT,Pittsburgh Pirates,164,74,88
124,1989,SDN,San Diego Padres,162,89,73
125,1989,SEA,Seattle Mariners,162,73,89
126,1989,SFN,San Francisco Giants,162,92,70
127,1989,SLN,St. Louis Cardinals,164,86,76
128,1989,TEX,Texas Rangers,162,83,79
129,1989,TOR,Toronto Blue Jays,162,89,73
130,1990,ATL,Atlanta Braves,162,65,97
131,1990,BAL,Baltimore Orioles,161,76,85
132,1990,BOS,Boston Red Sox,162,88,74
133,1990,CAL,California Angels,162,80,82
134,1990,CHA,Chicago White Sox,162,94,68
135,1990,CHN,Chicago Cubs,162,77,85
136,1990,CIN,Cincinnati Reds,162,91,71
137,1990,CLE,Cleveland Indians,162,77,85
138,1990,DET,Detroit Tigers,162,79,83
139,1990,HOU,Houston Astros,162,75,87
140,1990,KCA,Kansas City Royals,161,75,86
141,1990,LAN,Los Angeles Dodgers,162,86,76
142,1990,MIN,Minnesota Twins,162,74,88
143,1990,ML4,Milwaukee Brewers,162,74,88
144,1990,MON,Montreal Expos,162,85,77
145,1990,NYA,New York Yankees,162,67,95
146,1990,NYN,New York Mets,162,91,71
147,1990,OAK,Oakland Athletics,162,103,59
148,1990,PHI,Philadelphia Phillies,162,77,85
149,1990,PIT,Pittsburgh Pirates,162,95,67
150,1990,SDN,San Diego Padres,162,75,87
151,1990,SEA,Seattle Mariners,162,77,85
152,1990,SFN,San Francisco Giants,162,85,77
153,1990,SLN,St. Louis Cardinals,162,70,92
154,1990,TEX,Texas Rangers,162,83,79
155,1990,TOR,Toronto Blue Jays,162,86,76
156,1991,ATL,Atlanta Braves,162,94,68
157,1991,BAL,Baltimore Orioles,162,67,95
158,1991,BOS,Boston Red Sox,162,84,78
159,1991,CAL,California Angels,162,81,81
160,1991,CHA,Chicago White Sox,162,87,75
161,1991,CHN,Chicago Cubs,160,77,83
162,1991,CIN,Cincinnati Reds,162,74,88
163,1991,CLE,Cleveland Indians,162,57,105
164,1991,DET,Detroit Tigers,162,84,78
165,1991,HOU,Houston Astros,162,65,97
166,1991,KCA,Kansas City Royals,162,82,80
167,1991,LAN,Los Angeles Dodgers,162,93,69
168,1991,MIN,Minnesota Twins,162,95,67
169,1991,ML4,Milwaukee Brewers,162,83,79
170,1991,MON,Montreal Expos,161,71,90
171,1991,NYA,New York Yankees,162,71,91
172,1991,NYN,New York Mets,161,77,84
173,1991,OAK,Oakland Athletics,162,84,78
174,1991,PHI,Philadelphia Phillies,162,78,84
175,1991,PIT,Pittsburgh Pirates,162,98,64
176,1991,SDN,San Diego Padres,162,84,78
177,1991,SEA,Seattle Mariners,162,83,79
178,1991,SFN,San Francisco Giants,162,75,87
179,1991,SLN,St. Louis Cardinals,162,84,78
180,1991,TEX,Texas Rangers,162,85,77
181,1991,TOR,Toronto Blue Jays,162,91,71
182,1992,ATL,Atlanta Braves,162,98,64
183,1992,BAL,Baltimore Orioles,162,89,73
184,1992,BOS,Boston Red Sox,162,73,89
185,1992,CAL,California Angels,162,72,90
186,1992,CHA,Chicago White Sox,162,86,76
187,1992,CHN,Chicago Cubs,162,78,84
188,1992,CIN,Cincinnati Reds,162,90,72
189,1992,CLE,Cleveland Indians,162,76,86
190,1992,DET,Detroit Tigers,162,75,87
191,1992,HOU,Houston Astros,162,81,81
192,1992,KCA,Kansas City Royals,162,72,90
193,1992,LAN,Los Angeles Dodgers,162,63,99
194,1992,MIN,Minnesota Twins,162,90,72
195,1992,ML4,Milwaukee Brewers,162,92,70
196,1992,MON,Montreal Expos,162,87,75
197,1992,NYA,New York Yankees,162,76,86
198,1992,NYN,New York Mets,162,72,90
